Company Name,SIC Code,Exchange,Ticker,Active/Inactive,Country,Sector
420 Property Management Inc,6519,NBB,FTPM,Active,United States,Public
4C Controls Inc,4899,NBB,FOUR,Inactive,United States,Public
4Cable TV International  Inc,3663,NBB,CATV,Active,United States,Public
4D Molecular Therapeutics Inc,2836,NMS,FDMT,Active,United States,Public
4D Seismic Inc,3944,,,Active,United States,Public
"4Front Technologies, Inc.",7373,NMS,FFTI,Inactive,United States,Public
4Licensing Corp,6794,NBB,FOUR Q,Inactive,United States,Public
5:01 Acquisition Corp,9999,NAS,FVAM,Inactive,United States,Public
5B Technologies Corp.,7377,NBB,FIVE,Inactive,United States,Public
5Barz International Inc.,3669,NL,,Active,United States,Public
5E Advanced Materials Inc,1474,NMS,FEAM,Active,United States,Public
5TO1 Holdings Corp,7311,NBB,FTOH,Inactive,United States,Public
6D Global Technologies Inc,8742,NL,,Active,United States,Public
7-Eleven Inc.,5411,NYS,SE,Inactive,United States,Public
7GC & Co Holdings Inc,9999,NAS,VII,Active,United States,Public
"800 Travel Systems, Inc.",4724,OTC,IFLY Q,Inactive,United States,Public
"800-JR CIGAR, Inc.",5194,NMS,JRJR,Inactive,United States,Public
808 Renewable Energy Corp,4931,NBB,RNWR,Active,United States,Public
8888 Acquisition Corp,3069,NBB,EGHA,Inactive,United States,Public
89bio Inc,2834,NMS,ETNB,Active,United States,Public
8Point3 Energy Partners LP,4911,NMS,CAFD,Inactive,United States,Public
8x8 Inc,7374,NMS,EGHT,Active,United States,Public
9 Meters Biopharma Inc,2834,NBB,NMTR Q,Active,United States,Public
908 Devices Inc,3829,NMS,MASS,Active,United States,Public
99 Cents Only Stores,5331,NYS,NDN,Inactive,United States,Public
@plan.inc.,7375,NL,,Inactive,United States,Public
@Road Inc,7373,NMS,ARDI,Inactive,United States,Public
A C Simmonds & Sons Inc,7389,NL,,Active,United States,Public
"A Pea in the Pod, Inc.",5621,NMS,APOD,Inactive,United States,Public
"A Plus Network, Inc.",4822,NMS,ACOM,Inactive,United States,Public
"A-Mark Precious Metals, Inc",5094,NMS,AMRK,Active,United States,Public
"A.C. Moore Arts & Crafts, Inc.",5945,NMS,ACMR,Inactive,United States,Public
A.D.A.M. Inc.,7372,NMS,ADAM,Inactive,United States,Public
a.k.a. Brands Holding Corp,2331,NYS,AKA,Active,United States,Public
A.S.V. Inc.,3531,NMS,ASVI,Inactive,United States,Public
A.T. & E. Corporation,4822,NBB,ATEO,Inactive,United States,Public
A1 Group Inc,3679,NBB,AWON,Active,United States,Public
A10 Networks Inc ,7372,NYS,ATEN,Active,United States,Public
A123 Systems Inc,3699,NBB,AONE Q,Inactive,United States,Public
a21 Inc,7389,NBB,ATWO Q,Inactive,United States,Public
AA Importing Co Inc,5719,NL,,Active,United States,Public
AAA Century Group USA Inc,4111,NL,,Active,United States,Public
AAC Holdings Inc,8093,NBB,AACH,Inactive,United States,Public
Aadi Bioscience Inc,2834,NAS,AADI,Active,United States,Public
aaiPharma Inc.,8071,,,Inactive,United States,Public
"Aamaxan Transport Group, Inc.",9999,NBB,AAXT,Active,United States,Public
Aames Financial Corp.,6162,OTC,AMSF,Inactive,United States,Public
Aames Investment Corp,6798,NYS,AIC,Inactive,United States,Public
"AAON, Inc.",3585,NMS,AAON,Active,United States,Public
"AAP, Inc.",3669,NBB,AAPJ,Active,United States,Public
AAR Corp,4581,NYS,AIR,Active,United States,Public
"Aaro Broadband Wireless Communications, Inc.",3669,NBB,AARW,Inactive,United States,Public
Aaron's Co Inc (The),7359,NYS,AAN,Active,United States,Public
"Aavid Thermal Technologies, Inc.",3679,NMS,AATT,Inactive,United States,Public
AB Holding Group Inc,3089,OTC,ABHG,Inactive,United States,Public
AB International Group Corp,7372,NBB,ABQQ,Active,United States,Public
AB Watley Group Inc,6211,NL,,Active,United States,Public
AB&T Financial Corp,6021,NBB,ABTO,Active,United States,Public
Abacus Direct Corp.,7331,NMS,ABDR,Inactive,United States,Public
Abacus Life Inc,9999,NAS,ABL,Active,United States,Public
Abakan Inc.,2891,NL,,Active,United States,Public
Abatix Corp.,5084,NBB,ABIX,Inactive,United States,Public
"Abaxis, Inc.",3829,NMS,ABAX,Inactive,United States,Public
Abbott Laboratories,2834,NYS,ABT,Active,United States,Public
AbbVie Inc,2834,NYS,ABBV,Active,United States,Public
Abby Inc.,7389,NBB,ABBY,Active,United States,Public
ABC Records Management & Data Storage Inc,4226,NL,,Active,United States,Public
ABC-NACO Inc.,3469,,,Active,United States,Public
ABCO Energy Inc,3699,NBB,ABCE,Active,United States,Public
Abeona Therapeutics Inc,2834,NAS,ABEO,Active,United States,Public
Abercrombie & Fitch Co,5651,NYS,ANF,Active,United States,Public
Aberdeen Emerging Markets Smaller Company Opportunities Fund Inc,6726,ASE,ABE,Inactive,United States,Public
Aberdeen Greater China Fund Inc,6726,NYS,GCH,Inactive,United States,Public
Aberdeen Indonesia Fund Inc,6726,ASE,IF,Inactive,United States,Public
Aberdeen Israel Fund Inc,6726,ASE,ISL,Inactive,United States,Public
Aberdeen Latin America Equity Fund Inc,6726,ASE,LAQ,Inactive,United States,Public
Aberdeen Preferred Securities Plc,6799,,,Inactive,United States,Public
Aberdeen Singapore Fund Inc,6726,NYS,SGF,Inactive,United States,Public
"Abgenix, Inc.",2836,NMS,ABGX,Inactive,United States,Public
"Abigail Adams National Bancorp, Inc.",6021,NMS,AANB,Inactive,United States,Public
Abington Bancorp Inc,6021,NMS,ABBC,Inactive,United States,Public
Abington Bancorp Inc. (Old),6022,NMS,ABBK,Inactive,United States,Public
"ABIOMED, Inc.",3841,NMS,ABMD,Inactive,United States,Public
Able Energy Inc.,5983,NBB,ABLE,Active,United States,Public
ABLE LABORATORIES INC,2835,NBB,ABLS Q,Inactive,United States,Public
Able Telcom Holding Corp.,1731,OTC,ABTE,Inactive,United States,Public
Ablest Inc,7363,ASE,AIH,Inactive,United States,Public
"ABM Industries, Inc.",7349,NYS,ABM,Active,United States,Public
"About.com, Inc.",7373,NMS,BOUT,Inactive,United States,Public
AboveNet Communications Inc.,7371,NMS,ABOV,Inactive,United States,Public
"AboveNet, Inc.",4899,NYS,ABVT,Inactive,United States,Public
"ABR Information Services, Inc.",7374,NMS,ABRX,Inactive,United States,Public
Abraxas Petroleum Corp.,1311,NBB,AXAS,Inactive,United States,Public
Abraxis Bioscience Inc,2834,NMS,ABII,Inactive,United States,Public
"Abrdn Asia-Pacific Income Fund, Inc",6726,ASE,FAX,Active,United States,Public
"Abrdn Australia Equity Fund, Inc",6726,ASE,IAF,Active,United States,Public
Abrdn Emerging Markets Equity Income Fund Inc,6726,ASE,AEF,Active,United States,Public
Abrdn Global Dynamic Dividend Fund,6726,NYS,AGD,Active,United States,Public
"Abrdn Global Income Fund, Inc",6726,ASE,FCO,Active,United States,Public
Abrdn Global Infrastructure Income Fund,6726,NYS,ASGI,Active,United States,Public
Abrdn Global Premier Properties Fund,6726,NYS,AWP,Active,United States,Public
Abrdn Gold ETF Trust,6722,ARC,SGOL,Active,United States,Public
Abrdn Income Credit Strategies Fund,6726,NYS,ACP,Active,United States,Public
"Abrdn Japan Equity Fund, Inc",6726,NYS,JEQ,Active,United States,Public
Abrdn National Municipal Income Fund,6726,ASE,VFL,Active,United States,Public
Abrdn Palladium ETF Trust,6221,ARC,PALL,Active,United States,Public
Abrdn Platinum ETF Trust,6221,ARC,PPLT,Active,United States,Public
Abrdn Precious Metals Basket ETF Trust,6722,ARC,GLTR,Active,United States,Public
Abrdn Silver ETF Trust,6221,ARC,SIVR,Active,United States,Public
Abrdn Total Dynamic Dividend Fund,6726,NYS,AOD,Active,United States,Public
Abri SPAC I Inc,9999,NAS,ASPA,Active,United States,Public
ABS Industries Inc.,3462,NL,,Active,United States,Public
Absci Corp,8731,NMS,ABSI,Active,United States,Public
"Absolute Entertainment, Inc.",5045,,,Active,United States,Public
ABT Building Products Corp.,2499,NMS,ABTC,Inactive,United States,Public
Abtech Holdings Inc.,4959,NBB,ABHD,Inactive,United States,Public
ABV Consulting Inc,7389,NBB,ABVN,Active,United States,Public
ABVC BioPharma Inc,2834,NAS,ABVC,Active,United States,Public
"Abviva, Inc.",8071,,,Active,United States,Public
AC Partners Inc,3585,NBB,ACPS,Active,United States,Public
Acacia Communications Inc,3674,NMS,ACIA,Inactive,United States,Public
Acacia Diversified Holdings Inc,9999,NBB,ACCA,Active,United States,Public
Acacia Research Corp,6794,NMS,ACTG,Active,United States,Public
Academy Sports & Outdoors Inc,5941,NMS,ASO,Active,United States,Public
Acadia Healthcare Company Inc.,8093,NMS,ACHC,Active,United States,Public
Acadia Pharmaceuticals Inc,2834,NMS,ACAD,Active,United States,Public
Acadia Realty Trust,6798,NYS,AKR,Active,United States,Public
"Acadiana BancShares, Inc. (LA)",6022,ASE,ANA,Inactive,United States,Public
Acap Corp.,6311,NBB,ACPC,Inactive,United States,Public
ACC Aviation Holdings Ltd,2833,NBB,CAVG,Active,United States,Public
ACC Consumer Finance Corp.,6153,NMS,ACCI,Inactive,United States,Public
ACC Corp.,4813,NMS,ACCC,Inactive,United States,Public
Accel Entertainment Inc,7993,NYS,ACEL,Active,United States,Public
Accelera Innovations Inc,8082,NBB,ACNV,Active,United States,Public
Accelerate Acquisition Corp,9999,NL,,Active,United States,Public
Accelerate Diagnostics Inc,3826,NAS,AXDX,Active,United States,Public
Accelerated Technologies Holding Corp,7389,NBB,ATHC,Active,United States,Public
"Acceleron Pharma, Inc.",2836,NMS,XLRN,Inactive,United States,Public
"AccelGraphics, Inc.",3672,NMS,ACCL,Inactive,United States,Public
AccelPath Inc,3829,NL,,Active,United States,Public
Accelrys Inc,7372,NMS,ACCL,Inactive,United States,Public
Accent Color Sciences Inc.,3577,NBB,ACLR,Inactive,United States,Public
Accentia Biopharmaceuticals Inc,2834,NL,,Active,United States,Public
"Acceptance Casualty Insurance Co. (Lubbock,TX)",6331,,,Active,United States,Public
"Acceptance Indemnity Insurance Co. (Omaha,NE)",6331,,,Active,United States,Public
"Acceptance Insurance Co. (Omaha,NE)",6331,,,Active,United States,Public
Acceptance Insurance Companies Inc,6331,NBB,AICI Q,Inactive,United States,Public
Access Anytime Bancorp Inc.,6035,NAS,AABC,Inactive,United States,Public
Access Corp.,3577,,ACSS,Inactive,United States,Public
"Access Health, Inc.",8093,NMS,ACCS,Inactive,United States,Public
"ACCESS Healthnet, Inc.",7375,OTC,AHNT Q,Inactive,United States,Public
Access National Corp,6035,NMS,ANCX,Inactive,United States,Public
Access Plans Inc,6411,OTC,APNC,Inactive,United States,Public
Access Plans USA Inc,7389,NAS,AUSA,Inactive,United States,Public
Access Solutions International Inc.,3572,NBB,ASIC,Inactive,United States,Public
"Access to Money, Inc.",7299,OTC,AEMI,Inactive,United States,Public
"Access Worldwide Communications, Inc.",7389,NBB,AWWC,Active,United States,Public
Access-Power & Co Inc,9999,NBB,ACCR,Active,United States,Public
Accesstel Inc.,9999,NL,,Active,United States,Public
"Acclaim Entertainment, Inc",7372,NL,,Active,United States,Public
Acco Brands Corp,5044,NYS,ACCO,Active,United States,Public
Accolade Inc,7389,NMS,ACCD,Active,United States,Public
Accom Inc.,3861,OTC,ACMM,Inactive,United States,Public
Accredited Business Consolidators Corp,6719,NL,,Active,United States,Public
Accredited Home Lenders Holding Co.,6162,NMS,LEND,Inactive,United States,Public
"Accredited Solutions, Inc",2086,NBB,ASII,Active,United States,Public
"Accredo Health,  Inc.",5912,NMS,ACDO,Inactive,United States,Public
Accres Holding Inc,7322,NL,,Active,United States,Public
Accretion Acquisition Corp,9999,NMS,ENER,Active,United States,Public
"Accrue Software, Inc.",7372,NBB,ACRU Q,Inactive,United States,Public
"AccuFacts Pre-Employment Screening, Inc.",7323,NBB,APES,Inactive,United States,Public
"Accuhealth, Inc.",8082,NBB,AHLH Q,Inactive,United States,Public
Accuimage Diagnostics Corp.,7372,OTC,AIDP,Inactive,United States,Public
"AccuMed International, Inc.",2835,NMS,ACMI W,Inactive,United States,Public
Accuray Inc (CA),3841,NMS,ARAY,Active,United States,Public
Accuride Corp,3714,NYS,ACW,Inactive,United States,Public
AccuShares Trust I,6799,NL,,Active,United States,Public
"ACE Cash Express, Inc.",6099,NMS,AACE,Inactive,United States,Public
Ace Hardware Corp.,5072,NL,,Active,United States,Public
ACE*COMM Corp.,7373,OTC,ACEC,Inactive,United States,Public
AcelRx Pharmaceuticals Inc,2834,NMS,ACRX,Active,United States,Public
ACELYRIN Inc,2834,NMS,SLRN,Active,United States,Public
Acer Therapeutics Inc,2834,NAS,ACER,Active,United States,Public
Aceragen Inc,2836,NAS,ACGN,Inactive,United States,Public
Aceto Corp,5122,NBB,ACET Q,Inactive,United States,Public
"ACF Industries, Inc.",6517,,,Inactive,United States,Public
"ACG Holdings, Inc.",2754,,,Active,United States,Public
"Achaogen, Inc",2834,NBB,AKAO Q,Inactive,United States,Public
Achari Ventures Holdings Corp I,9999,NMS,AVHI,Active,United States,Public
Achieve Life Science Inc,2835,NAS,ACHV,Active,United States,Public
Achievement Funds - Balanced Fund,6722,NL,ACBA X,Inactive,United States,Public
Achievement Funds - Equity Fund,6722,NL,ACEA X,Inactive,United States,Public
Achievement Funds - Idaho Municipal Bond Fund,6722,NL,ACMA X,Inactive,United States,Public
Achievement Funds - Intermediate Term Bond Fund,6722,NL,ACRA X,Inactive,United States,Public
Achievement Funds - Short Term Bond Fund,6722,NL,ACTA X,Inactive,United States,Public
Achievement Funds - Short Term Municipal Bond Fund,6722,NL,ACSA X,Inactive,United States,Public
Achillion Pharmaceuticals Inc,2834,NMS,ACHN,Inactive,United States,Public
Achison Inc,3993,NBB,ACHN,Active,United States,Public
ACI Global Corp,8071,NBB,ACGJ,Active,United States,Public
ACI Worldwide Inc,7372,NMS,ACIW,Active,United States,Public
Acies Corp,7389,NBB,ACIE,Inactive,United States,Public
"Ackerley Group, Inc. (The)",7312,NYS,AK,Inactive,United States,Public
Ackrell SPAC Partners I Co,9999,NAS,ACKI W,Active,United States,Public
ACLARA BioSciences Inc,3826,NMS,ACLA,Inactive,United States,Public
Aclarion Inc,3841,NAS,ACON,Active,United States,Public
Aclaris Therapeutics Inc,2834,NMS,ACRS,Active,United States,Public
ACM Corp,9999,NL,,Active,United States,Public
"ACM Government Opportunity Fund, Inc.",6726,NYS,AOF,Inactive,United States,Public
"ACM Government Securities Fund, Inc.",6726,NL,,Inactive,United States,Public
"ACM Government Spectrum Fund, Inc.",6726,NL,,Inactive,United States,Public
ACM Managed Dollar Income Fund,6726,NL,,Inactive,United States,Public
"ACM Managed Income Fund, Inc.",6726,NYS,AMF,Inactive,United States,Public
"ACM Municipal Securities Income Fund, Inc.",6726,NYS,AMU,Inactive,United States,Public
ACM Research Inc,3599,NMS,ACMR,Active,United States,Public
ACMAT Corp.,6351,NBB,ACMT A,Active,United States,Public
ACME Communications Inc,9999,NBB,ACME,Inactive,United States,Public
Acme Electric Corp.,3629,NMS,ACEE,Inactive,United States,Public
Acme Holdings Inc.,7359,,,Active,United States,Public
Acme Metals Inc.,3312,NBB,AMII Q,Inactive,United States,Public
Acme Packet Inc,3669,NMS,APKT,Inactive,United States,Public
Acme United Corp.,3421,ASE,ACU,Active,United States,Public
Acme-Cleveland Corp.,3545,NYS,AMT,Inactive,United States,Public
ACNB Corp,6022,NAS,ACNB,Active,United States,Public
ACNielsen Corp.,8732,,ART,Inactive,United States,Public
Acorda Therapeutics Inc  ,2836,NMS,ACOR,Active,United States,Public
"Acordia, Inc.",6411,NYS,ACO,Inactive,United States,Public
Acorn Energy Inc,3679,NBB,ACFN D,Active,United States,Public
"Acorn Products, Inc",3429,NAS,ACRN,Inactive,United States,Public
"Acqua Group, Inc.",4941,NL,,Active,United States,Public
Acquest Corp.,3577,,,Active,United States,Public
"ACR Group, Inc.",5074,ASE,BRR,Inactive,United States,Public
ACRE Realty Investors Inc,6798,ASE,AIII,Active,United States,Public
ACRES Commercial Realty Corp,6798,NYS,ACR PRD,Active,United States,Public
"Acres Gaming, Inc.",3577,NAS,AGAM,Inactive,United States,Public
Acri Capital Acquisition Corp,9999,NMS,ACAC,Active,United States,Public
Acrivon Therapeutics Inc,8731,NMS,ACRV,Active,United States,Public
Acro Biomedical Co Ltd,5499,NBB,ACBM,Active,United States,Public
Acrodyne Communications Inc.,3663,NBB,ACRO,Inactive,United States,Public
Acrongenomics Inc,3841,NBB,AGNM,Inactive,United States,Public
Acropolis Infrastructure Acquisition Corp,9999,NYS,ACRO,Active,United States,Public
"ACS Enterprises, Inc.",4841,NMS,ACSE,Inactive,United States,Public
ACSYS Inc.,7363,ASE,AYS,Inactive,United States,Public
Act Clean Technologies Inc,7389,NL,,Active,United States,Public
"Act III Theatres, Inc.",7832,,,Inactive,United States,Public
"ACT Manufacturing, Inc.",3672,NBB,AMNU Q,Inactive,United States,Public
"ACT Networks, Inc.",3577,NMS,ANET,Inactive,United States,Public
"ACT Teleconferencing, Inc",4899,NBB,ACTT,Inactive,United States,Public
Actel Corp.,3674,NMS,ACTL,Inactive,United States,Public
Actelis Networks Inc,3669,NAS,ASNS,Active,United States,Public
Acterna Corp,3825,OTC,ACTR Q,Inactive,United States,Public
Actinium Pharmaceuticals Inc,2836,ASE,ATNM,Active,United States,Public
Action Performance Companies Inc,5092,NYS,ATN,Inactive,United States,Public
"Action Staffing, Inc.",7363,OTC,ATNS,Inactive,United States,Public
"Active Health Foods, Inc.",2051,NBB,AHFD,Active,United States,Public
Active Link Communications Inc,5065,NBB,ACVE,Inactive,United States,Public
Active Network Inc,7372,NYS,ACTV,Inactive,United States,Public
Active Software Inc,7373,NMS,ASWX,Inactive,United States,Public
Active Voice Corp.,3661,NMS,ACVC,Inactive,United States,Public
ActiveCare Inc,3845,NBB,ACAR Q,Inactive,United States,Public
ActivIdentity Corp,7372,NMS,ACTI,Inactive,United States,Public
"Activision Blizzard, Inc.",7372,NMS,ATVI,Active,United States,Public
"Activision, Inc.",7372,NMS,ATVI,Inactive,United States,Public
Actrade Financial Technologies Ltd,6153,OTC,ACRT Q,Inactive,United States,Public
Actua Corp,9999,NL,,Active,United States,Public
Actuate Corp.,7372,NMS,BIRT,Inactive,United States,Public
"ACTV, Inc.",3663,BSE,IAT,Inactive,United States,Public
Acucela Inc,2834,NBB,AUCL,Inactive,United States,Public
Acuity Brands Inc (Holding Company),3648,NYS,AYI,Active,United States,Public
"Acuity Imaging, Inc.",3541,NAS,ACUT,Inactive,United States,Public
Acumen Pharmaceuticals Inc,2834,NMS,ABOS,Active,United States,Public
AcuNetx Inc ,5047,NBB,ANTX Q,Inactive,United States,Public
Acura Pharmaceuticals Inc,2834,NBB,ACUR,Active,United States,Public
Acurx Pharmaceuticals Inc,2834,NAS,ACXP,Active,United States,Public
Acushnet Holdings Corp,3949,NYS,GOLF,Active,United States,Public
Acuson Corp.,3845,NYS,ACN,Inactive,United States,Public
Acusphere Inc  ,2834,NBB,ACUS,Active,United States,Public
Acutus Medical Inc,3841,NMS,AFIB,Active,United States,Public
ACV Auctions Inc,7389,NMS,ACVA,Active,United States,Public
Ad Systems Communications Inc.,7389,NBB,ADSY Q,Inactive,United States,Public
"Ad-Rak Holdings, Inc.",7312,NBB,ADRK,Active,United States,Public
ADAC Laboratories,3844,NMS,ADAC,Inactive,United States,Public
AdAl Group Inc,3354,NBB,ADGR,Inactive,United States,Public
Adama Technologies Corp,3728,NL,,Active,United States,Public
Adamant Dri Processing & Minerals Group,7389,NBB,ADMG,Active,United States,Public
Adamas One Corp,3915,NL,,Active,United States,Public
Adamas Pharmaceuticals Inc,2834,NMS,ADMS,Inactive,United States,Public
Adamas Ventures Inc,9999,NL,,Active,United States,Public
Adams Diversified Equity Fund Inc,6726,NYS,ADX,Active,United States,Public
Adams Golf Inc.,3949,NAS,ADGF,Inactive,United States,Public
Adams Natural Resources Fund Inc,6726,NYS,PEO,Active,United States,Public
"Adams Resources & Energy, Inc.",5172,ASE,AE,Active,United States,Public
Adams Respiratory Therapeutics Inc,2834,NMS,ARXT,Inactive,United States,Public
AdaptHealth Corp,8082,NAS,AHCO,Active,United States,Public
Adaptive Ad Systems Inc,7319,NBB,AATV,Active,United States,Public
Adaptive Biotechnologies Corp,2836,NMS,ADPT,Active,United States,Public
Adaptive Broadband Corp.,3663,OTC,ADAP Q,Inactive,United States,Public
Adaptive Medias Inc,7319,NL,,Active,United States,Public
"Adaptive Solutions, Inc.",3577,OTC,ADPV Q,Inactive,United States,Public
Adarna Energy Corp,8731,NL,,Active,United States,Public
ADC Telecommunications Inc,3661,NMS,ADCT,Inactive,United States,Public
Adco Technologies Inc.,2891,NMS,ADCO,Inactive,United States,Public
Addentax Group Corp ,2389,NAS,ATXG,Active,United States,Public
"Addington Resources, Inc.",1221,NMS,ADDR,Inactive,United States,Public
"ADDSCO Industries, Inc.",6512,NBB,ADDS,Active,United States,Public
Addus HomeCare Corp,8082,NMS,ADUS,Active,United States,Public
"ADDvantage Technologies Group, Inc.",5065,NAS,AEY,Active,United States,Public
ADE Corp. (MA),3829,NMS,ADEX,Inactive,United States,Public
Adeia Inc,3674,NMS,ADEA,Active,United States,Public
Adelphia Business Solutions Inc,4841,NBB,ABIZ Q,Active,United States,Public
Adelphia Communications Corp.,4841,NBB,ADLN Q,Inactive,United States,Public
Adelphia Recovery Trust,6733,NBB,ADPA S,Inactive,United States,Public
"Aden Solutions, Inc.",4724,NBB,ADSU,Inactive,United States,Public
Adept Technology Inc.  ,3559,NAS,ADEP,Inactive,United States,Public
Adeptus Health Inc,8062,NBB,ADPT Q,Inactive,United States,Public
Adesa Corp.,5599,NMS,SOLD,Inactive,United States,Public
ADESA Inc,5015,NYS,KAR,Inactive,United States,Public
Adesto Technologies Corp,3674,NAS,IOTS,Inactive,United States,Public
Adex Media Inc,7372,NL,,Active,United States,Public
Adeza Biomedical Corp,3825,NMS,ADZA,Inactive,United States,Public
"ADFlex Solutions, Inc.",3678,NMS,AFLX,Inactive,United States,Public
AdForce Inc.,4899,NMS,ADFC,Inactive,United States,Public
Adhera Therapeutics Inc,9999,NBB,ATRX,Active,United States,Public
ADial Pharmaceuticals Inc,2834,NAS,ADIL,Active,United States,Public
Adicet Bio Inc,2834,NMS,ACET,Active,United States,Public
"Adience, Inc.",1629,NBB,ADEI,Active,United States,Public
Adirondack Trust Co.,6022,NBB,ADKT,Active,United States,Public
Adit EdTech Acquisition Corp,9999,ASE,ADEX,Active,United States,Public
Aditxt Inc,2836,NAS,ADTX,Active,United States,Public
ADM Endeavors Inc,7319,NBB,ADMQ,Active,United States,Public
"ADM Tronics Unlimited, Inc.",2891,NBB,ADMT,Active,United States,Public
ADMA Biologics Inc,2836,NMS,ADMA,Active,United States,Public
"Admar Group, Inc. (The)",8099,NL,,Inactive,United States,Public
Admiral Financial Corp.,9999,NL,,Active,United States,Public
Admiralty Bancorp Inc,6022,NMS,AAAB,Inactive,United States,Public
Admiralty Holding Co,1099,,,Active,United States,Public
Adobe Inc,7372,NMS,ADBE,Active,United States,Public
Adolor Corp.,2834,NMS,ADLR,Inactive,United States,Public
Adorbs Inc,5137,NBB,ADOB,Active,United States,Public
